Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35
;Atendimento de Ordens de Serviço;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"
 Classe: Manutenção Corretiva
 Data Abertura:  de 01/05/2024 até 13/11/2025";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NEC;Unid. Saúde;Orgão;Classe;O.S.;Estado da O.S.;Abertura;Encerramento;Identificador;N. Série;Tipo Equip.;Marca;Modelo;Quantidade;Grupo;Localização Física;Programa MP;Situação Equipamento;Equipamento Crítico;Duração OS (dias);Duração (horas);Tempo SOS-OSP (dias);Tempo SOS-OSP (horas);Indisponibilidade (dias);Indisponibilidade (horas);Primeiro Atendimento (minutos);Tempo desde última MC (dias);Tempo Atividade (Minutos);Tempo Aquisição de Material (dias);Tempo Serviço Externo (dias);Serviço Externo S/N;Serviço Externo Cancelado;Custo Material (R$);Custo Serviço (R$);Custo Total (R$);Solicitante
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.821;CO;2025-04-09 16:04:48.692000;2025-04-10 09:11:44.023000;;;BRACADEIRA;;;1;SENC;Endoscopia;;EM USO;;0;17;0;0;0;0;4;;30;;;NÃO;;0;;0;SAMUEL BRITO
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.2100;CO;2025-08-21 10:55:26.203000;2025-08-26 07:40:23.905000;;;ESFIGMOMANOMETRO ANEROIDE;;;1;SENC;7 sul;;EM USO;;4;116;4;101;4;101;13;;90;;;NÃO;;0;;0;NELSON FIDELIS DA SILVA
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.1914;CO;2025-08-05 11:28:16.603000;2025-08-13 09:51:09.155000;HCPE-1029,413.076;966912;INCUBADORA LAB AGITACAO/ROTACAO PLAQUETA;HELMER;PF-48-H;;SENC;HEMOTERAPIA;;EM USO;NÃO;7;190;6;165;0;0;147;;120;;;NÃO;;0;;0;FLÁVIA REJANE
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.2308;CO;2025-09-03 11:25:46.067000;2025-09-19 09:32:15.949000;;;ACIONADOR-CHAVE;;;1;SENC;broncoscopia;;EM USO;;15;382;15;381;15;360;22898;;45;;;NÃO;;0;;0;JANAINA ANDRESSA GONÇALVES DOS SANTOS
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.1847;CO;2025-07-31 10:28:11.099000;2025-07-31 11:40:00.565000;;;ELETRODO;;;1;SENC;HC BRONCOSCOPIA;;EM USO;;0;1;0;0;0;0;35;;120;;;NÃO;;0;;0;JANAINA ANDRESSA GONÇALVES DOS SANTOS
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.2470;CO;2025-09-22 10:29:46.338000;2025-09-23 16:20:03.067000;;;BRACADEIRA;;;1;SENC;6 sul;;EM USO;;1;29;1;29;1;29;1691;;120;;;NÃO;;0;;0;NELSON FIDELIS DA SILVA
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.1938;CO;2025-08-06 14:06:20.296000;2025-08-11 11:37:23.029000;;;CABO ENERGIA;;;1;SENC;BRONCOSCOPIA;;EM USO;;4;117;1;42;1;40;111;;120;;;NÃO;;0;;0;JANAINA ANDRESSA GONÇALVES DOS SANTOS
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.1835;CO;2025-07-30 07:14:56.474000;2025-07-30 10:08:50.672000;;;TERMOMETRO ELETRONICO;;;1;SENC;SALA DE ESTABILIZAÇÃO;;EM USO;;0;2;0;2;0;1;124;;60;;;NÃO;;0;;0;MIRIAM SOUZA NERY
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.1648;CO;2025-07-07 15:50:29.308000;2025-07-31 21:08:49.073000;;;CABO-TERMINAL ECG;;;1;SENC;UTI ADULTO- 5º ANDAR;;EM USO;;24;581;24;576;0;0;0;;60;;;NÃO;;0;;0;MIKAEL HIGOR
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.889;CO;2025-04-23 12:15:54.016000;2025-04-30 15:56:42.944000;;;MICROSCOPIO LAB;;;1;SENC;LABORATORIO DE HEMATOLOGIA;;EM USO;;7;171;7;171;0;2;165;;45;;;NÃO;;0;;0;GISELLE JUCÁ DE LIMA
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.982;SR;2025-04-30 10:15:16.618000;2025-04-30 13:20:20.145000;;;CARRO EQUIPAMENTO;;;1;SENC;Ambulatório de Oncologia- 3° andar  ;;PARADO;;;;;;0;3;;;0;;;NÃO;;0;;0;DANIELLY
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.3053;EE;2025-11-10 08:24:36.248000;;;;LARINGOSCOPIO RIGIDO;;;1;SENC;Broncoscopia;;PARADO;;;;;;0;0;4;;50;;;NÃO;;0;;0;JANAINA ANDRESSA GONÇALVES DOS SANTOS
HC-UFPE;HC;AUDIT - 5351;Manutenção Corretiva;25.3033;CO;2025-11-06 09:52:51.207000;2025-11-06 11:49:47.232000;;;MONITOR MULTIPARAMETRICO;;;1;SENC;BRONCOSCOPIA;;EM USO;;0;1;0;1;0;0;14;;130;;;NÃO;;0;;0;JANAINA ANDRESSA GONÇALVES DOS SANTOS
HC-UFPE;HC;CPC - SGPITS;Manutenção Corretiva;25.1051;CO;2025-05-12 07:07:05.461000;2025-05-12 10:16:39.449000;HCPE-3494,;20222852;FREEZER LAB MULTIUSO;BIOTECNO;BT-1200/560;;SENC;CPC;;EM USO;NÃO;0;3;0;0;0;0;0;;50;;;NÃO;;0;;0;HELDER GUILHERME
HC-UFPE;HC;CPC - SGPITS;Manutenção Corretiva;25.341;CO;2025-02-14 11:51:00.336000;2025-02-17 11:02:05.056000;;;CARRO EQUIPAMENTO;;;1;SENC;UTI neonatologia;;EM USO;;2;71;2;68;2;66;123;;60;;;NÃO;;0;;0;EVELINE BARROS CALADO
HC-UFPE;HC;CPC - SGPITS;Manutenção Corretiva;25.1968;CO;2025-08-11 09:16:49.619000;2025-08-12 09:44:35.414000;;;CABO ENERGIA;;;1;SENC;ambulatório de pediatria especializada 2º andar;;EM USO;;1;24;0;22;0;0;53;;300;;;NÃO;;0;;0;AMANDA ALVES VALOIS
HC-UFPE;HC;CPC - SGPITS;Manutenção Corretiva;25.2727;CO;2025-10-09 09:19:53.699000;2025-10-09 14:37:22.495000;;;ACIONADOR-CHAVE;;;1;SENC;Serviço de Dermatologia (Laboratório);;EM USO;;0;5;0;4;0;4;243;;90;;;NÃO;;0;;0;MISAEL ARCANJO DA SILVA
HC-UFPE;HC;CPC - SGPITS;Manutenção Corretiva;25.2541;CO;2025-09-29 11:09:00.324000;2025-09-29 15:32:23;HCPE-3463;0534533;ESFIGMOMANOMETRO ANEROIDE;WENZHOU KANGJU;HOSPITALAR RODIZIOS;;SENC;8 sul;;EM USO;NÃO;0;4;0;3;0;2;171;;30;;;NÃO;;0;;0;RICARDO RUBENS DOS SANTOS
HC-UFPE;HC;CPC - SGPITS;Manutenção Corretiva;25.2127;CO;2025-08-25 08:42:22.356000;2025-08-25 09:36:04.048000;;;MONITOR MULTIPARAMETRICO;;;1;SENC; setor de ecocardiograma;;EM USO;;0;0;0;0;0;0;40;;30;;;NÃO;;0;;0;VERONICA LOPES DE MOURA PESSOA
HC-UFPE;HC;CPC - SGPITS;Manutenção Corretiva;25.2152;CO;2025-08-26 11:07:19.057000;2025-08-27 07:29:48.452000;HCPE-3504;0423210A;ELETROCARDIOGRAFO;PRO LIFE;ECG-100-L;;SENC;CENTRO DE PESQUISA CLÍNICA;;EM USO;NÃO;0;20;0;2;0;2;29;147;20;;;NÃO;;0;;0;CAMILA BEZERRA MELO FIGUEIREDO
HC-UFPE;HC;CPC - SGPITS;Manutenção Corretiva;25.1255;CO;2025-05-29 10:47:22.938000;2025-06-02 09:57:15.426000;;;CABO PECA MAO BISTURI;;;1;SENC;Serviço de Dermatologia;;EM USO;;3;95;3;94;3;94;5679;;50;;;NÃO;;0;;0;MISAEL ARCANJO DA SILVA
HC-UFPE;HC;CPC - SGPITS;Manutenção Corretiva;25.421;CO;2025-02-25 10:27:44.357000;2025-03-31 16:42:13.716000;HCPE-3504;0423210A;ELETROCARDIOGRAFO;PRO LIFE;ECG-100-L;;SENC;5º norte ;;EM USO;NÃO;34;822;30;726;0;0;346;;90;;;NÃO;;0;;0;PATRICIA ROBERTA MACHADO DA SILVA
HC-UFPE;HC;CPC - SGPITS;Manutenção Corretiva;25.2352;CO;2025-09-08 14:22:12.994000;2025-09-09 07:22:27.558000;HCPE-1635,759.833;00572;DESFIBRILADOR-CARDIOVERSOR;NIHON KOHDEN;CARDIOLIFE TEC-5631;;SENC;CENTRO DE PESQUISA CLÍNICA;;EM USO;NÃO;0;17;0;2;0;1;94;270;120;;;NÃO;;0;;0;CAMILA BEZERRA MELO FIGUEIREDO
HC-UFPE;HC;CPC - SGPITS;Manutenção Corretiva;25.1640;CO;2025-07-07 08:16:44.687000;2025-09-09 11:57:43.317000;;2012843;CENTRIFUGA B B V REFRIGERADA;NOVATECNICA;NT-815;;SENC;CPC;;EM USO;NÃO;64;1539;63;1535;63;1535;86;;1440;;;NÃO;;0;;0;SAMUEL BRITO
HC-UFPE;HC;DADT - 5345;Manutenção Corretiva;24.1112;CO;2024-11-18 11:32:12.052000;2024-11-18 11:34:46.069000;;;SENSOR OXIMETRO PULSO;;;3;SENC;ENGENHARIA CLÍNICA;;EM USO;;0;0;0;0;0;0;;;20;;;NÃO;;840;;840;MARIA KAROLINE DA SILVA ANDRADE
HC-UFPE;HC;DADT - 5345;Manutenção Corretiva;24.917;CO;2024-10-21 11:03:14.273000;2025-06-02 11:37:15.842000;;;SENSOR OXIMETRO PULSO;;;3;SENC;UTI ADULTO;;EM USO;;224;5376;224;5376;224;5376;322592;;30;;;NÃO;;0;;0;ANDREIA
HC-UFPE;HC;DADT - 5345;Manutenção Corretiva;25.2474;CO;2025-09-22 11:01:15.049000;2025-09-23 10:11:43.004000;;;CARRO EQUIPAMENTO;;;1;SENC;setor de ecocardiograma;;EM USO;;0;23;0;4;0;0;258;;120;;;NÃO;;0;;0;EVELINE BARROS CALADO
