MANUTENÇÕES CORRETIVAS REALIZADAS EXTERNAMENTE DURANTE O CONTRATO SL ENGENHARIA HOSPITALAR E HOSPITAL DAS CLÍNICAS;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
OS;Equipamento;Modelo;Fabricante;TAG;Patrimônio;Nº de Série ;Setor;Abertura;Fechamento;Serviço;Assistência;Custo
201800024;ELETROCARDIÓGRAFO;CARDIOCARE 2000;BIONET;HCPE-0274;;EK0700109;NASS;20/02/2018 08:00;28/05/2018 15:41;OBSOLESCÊNCIA;KESA LTDA.;0,00
201800051;RESSONÂNCIA MAGNÉTICA;SIGNA HDI;GE;HCPE-0914;;MRR8279;RESSONÂNCIA (UDI);28/02/2018 14:19;12/03/2018 15:10;ACOMPANHAMENTO DE SERVIÇO EXTERNO, SUBSTITUIÇÃO;GE HEALTHCARE DO BRASIL COM. E SER. P/ EMH;0,00
201800055;INCUBADORA NEONATAL;VISION 2186;FANEM;HCPE-0632;409.253;CJ2479;UTI NEONATAL;01/03/2018 09:56;26/04/2018 12:18;OBSOLESCÊNCIA;MEDICAL MERCANTIL DE APARELHAGEM MÉDICA LTDA;0,00
201800057;ULTRASSOM;LOGIQ S7 EXPERT;GE;HCPE-1127;412.146;LS7500753SU1;ULTRASSOM (UDI);01/03/2018 15:26;07/03/2018 17:30;CONFIGURAÇÃO;GE HEALTHCARE DO BRASIL COM. E SER. P/ EMH;0,00
201800058;ULTRASSOM;HD7;PHILIPS;HCPE-1140;412.140;CI50090805;ULTRASSOM (UDI);01/03/2018 15:27;27/03/2018 09:02;SUBSTITUIÇÃO;SUPORTCARE TECNOLOGIA HOSPITALAR LTDA;0,00
201800074;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0386;;44010M/00;8° SUL (DIP / COVID);27/02/2018 10:38;15/03/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800075;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0374;;45221M/00;8° NORTE;27/02/2018 10:39;15/03/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800076;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0368;;45315M/00;8° NORTE;27/02/2018 10:40;15/03/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800077;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0934;;65076M/00;CENTRAL DE EQUIPAMENTOS;27/02/2018 10:40;15/03/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
