MANUTENÇÕES CORRETIVAS REALIZADAS INTERNAMENTE DURANTE O CONTRATO SL ENGENHARIA HOSPITALAR E HOSPITAL DAS CLÍNICAS;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11
OS;Equipamento;Modelo;Fabricante;TAG;Patrimônio;Nº de Série ;Setor;Abertura;Fechamento;Serviço;Custo
201800001;MONITOR MULTIPARAMÉTRICO;DX-2020;DIXTAL;HCPE-0055;756.785;031300141;CENTRAL DE EQUIPAMENTOS;21/02/2018 11:30;22/02/2018 15:20;ANÁLISE TÉCNICA;0,00
201800002;ULTRASSOM;M- TURBO;FUJIFILM SONOSITE;HCPE-0064;760.727;WG01T9;CENTRO OBSTÉTRICO;21/02/2018 14:11;22/02/2018 12:00;ANÁLISE TÉCNICA;0,00
201800003;LAVADORA ULTRASSÔNICA;SW3000WJ;SANDERS MEDICAL;HCPE-0101;409.104;SW3000210;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);22/02/2018 08:48;19/03/2018 17:10;REPARO;26,00
201800004;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0129;758.477;20120041374;10° NORTE;22/02/2018 10:09;15/03/2018 18:00;REPARO;0,00
201800005;CABO DE PLACA DE BISTURI;;GENÉRICO;HCPE-0147;;;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);22/02/2018 10:09;22/02/2018 17:05;REPARO;0,00
201800006;BERÇO AQUECIDO;;OLIDEF;HCPE-0256;757.498;BA95F71;9° NORTE (MATERNIDADE);21/02/2018 07:00;21/02/2018 17:00;ANÁLISE TÉCNICA;0,00
201800007;BALANÇA ANTROPOMÉTRICA;R-110;WELMY;HCPE-0272;756.333;100306;CENTRAL DE EQUIPAMENTOS;20/02/2018 10:45;20/02/2018 14:05;SUBSTITUIÇÃO;0,00
201800008;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0273;407.822;20120069233;BLOCO CIRÚRGICO;19/02/2018 15:30;19/02/2018 16:30;REPARO;0,00
201800009;MICROSCÓPIO CIRÚRGICO;OPMI VARIO 700;CARL ZEISS;HCPE-0001;407.984;6636161591;BLOCO CIRÚRGICO;19/02/2018 10:00;19/02/2018 15:00;ANÁLISE TÉCNICA;0,00
201800010;BISTURI ELÉTRICO;BP-100;TRANSMAI-EMAI;HCPE-0154;405.744;031Q6989;AMB. DERMATOLOGIA;23/02/2018 07:24;23/02/2018 08:24;REPARO;0,00
201800011;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0140;758.474;20120069351;10° NORTE;23/02/2018 07:00;23/02/2018 09:00;REPARO;0,00
201800012;RAIO X TELECOMANDADO;AXIOM ICONOS MD;SIEMENS;HCPE-0319;414.843;19233;ULTRASSOM (UDI);23/02/2018 09:12;23/02/2018 09:22;ANÁLISE TÉCNICA;0,00
201800013;BISTURI ELÉTRICO;BP-100 PLUS;TRANSMAI-EMAI;HCPE-0407;759.753;10EQ06278;AMB. DERMATOLOGIA;23/02/2018 08:24;23/02/2018 09:12;REPARO;0,00
201800014;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0276;405.806;141760;8° NORTE;19/02/2018 08:00;19/02/2018 09:00;ANÁLISE TÉCNICA;0,00
201800015;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0275;406.085;141755;CENTRAL DE EQUIPAMENTOS;19/02/2018 08:00;19/02/2018 08:30;SUBSTITUIÇÃO;0,00
201800016;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;BIC;HCPE-0279;412.348;987819;CENTRAL DE EQUIPAMENTOS;20/02/2018 07:00;20/02/2018 08:00;SUBSTITUIÇÃO;0,00
201800017;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0281;406.078;141750;CENTRAL DE EQUIPAMENTOS;20/02/2018 13:00;20/02/2018 14:00;SUBSTITUIÇÃO;0,00
201800018;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0282;406.084;141625;CENTRAL DE EQUIPAMENTOS;20/02/2018 12:30;20/02/2018 13:00;SUBSTITUIÇÃO;0,00
