NEC;U.S.;Sigla Órgão;Nome Órgão;Localização;Identificador;N.º Série;Tipo Equipamento;Classe;Marca;Modelo;Fornecedor;Valor (R$);Aquisição;Núm. Doc. da Aquisição;Nota Fiscal;Garantia;Data Desativação;Desativado;Parecer Desativação;Permitir O.S.;Baixado;Contrato;Equipamento Crítico;Equipamento Próprio;Descrição Complementar;N.º Quebras;N.º Serviço Externo;N.º Peças Utilizadas;Custo Serviço Externo (R$);Custo Peça (R$);Vida Útil;Indisponibilidade (dias);Última MP
HC-UFPE;HC;UACAP;UNIDADE DE ANÁLISES CLÍNICAS E ANATOMIA PATOLÓGICA;LAB. SOROLOGIA;HCPE-1006;400;AGITADOR LAB;EQUIPAMENTO;EVLAB;EV-07-E;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;0.0;2018-02-26 00:00:00;;0;2019-02-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UACAP;UNIDADE DE ANÁLISES CLÍNICAS E ANATOMIA PATOLÓGICA;LAB. SOROLOGIA;HCPE-1007;XRS1355;AGITADOR LAB;EQUIPAMENTO;FANEM;251;GENERICO;0.0;2018-02-26 00:00:00;;0;2019-02-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UPLA;UNIDADE DE PLANEJAMENTO;LABORATÓRIO;HCPE-3882;202406355;AGITADOR LAB;EQUIPAMENTO;IONLAB;KLA-230;GENERICO;632.0;2025-10-09 00:00:00;;1.760;2026-10-09 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;USU;UNIDADE DO SISTEMA URINÁRIO;AMBULATÓRIO DE UROLOGIA;HCPE-2802,;07202598;ANA FISIOLOGICO PERISTALTISMO/CONTRACAO;EQUIPAMENTO;DYNAMED;DYNAPACK MPX-816;DYNAMED - INDUSTRIA, COMERCIO E SERVICOS PARA ELETROMEDICINA LTDA;32.0;2020-07-15 00:00:00;13/2020;15.555;2021-07-15 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;"- NOTEBOOK SAMSUNG 350XAA 08R39QAM201905A
-IMPRESSORA HP HP INK TANK WIRELESS 416 BR9A73F0HD";;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM-WEBMED-2;090R1061N077;ANA LAB GAS SANGUINEO-PH-ELETROLITO;EQUIPAMENTO;RADIOMETER;ABL-90-FLEX;WEBMED SOLUÇÕES EM SAÚDE LTDA;55142.14;2023-06-05 00:00:00;;76032;2023-06-05 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;EQUIPAMENTO ACOMODATADO;;;;;;;;
HC-UFPE;HC;UTI ADULTO;UNIDADE DE CUIDADO INTENSIVO E SEMI-INTENSIVO ADULTO;UTI ADULTO;COM-WEBMED-1;090R0218N006;ANA LAB GAS SANGUINEO-PH-ELETROLITO;EQUIPAMENTO;RADIOMETER;ABL-90-FLEX;WEBMED SOLUÇÕES EM SAÚDE LTDA;55142.14;2023-06-05 00:00:00;;76032;2023-06-05 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;EQUIPAMENTO COMODATADO;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;LAB. HEMOSTASIA;HCPE-0985;05022770;ANA LAB HEM COAGULACAO;EQUIPAMENTO;INSTRUMENTATION LABORATORY;ACL-7000;GENERICO;0.0;2018-02-27 00:00:00;;0;2019-02-27 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;LAB. HEMOSTASIA;HCPE-0983;11061820;ANA LAB HEM COAGULACAO AUTOMATICO;EQUIPAMENTO;INSTRUMENTATION LABORATORY;ACL TOP-350-CTS;GENERICO;0.0;2018-02-27 00:00:00;;0;2019-02-27 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;LAB. HEMATOLOGIA;HCPE-0979;55566BG;ANA LAB HEM CTG CELULA AUTOMATICO;EQUIPAMENTO;ABBOTT;CELL DYN RUBY;GENERICO;0.0;2018-02-27 00:00:00;;0;2019-02-27 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;LAB. HEMATOLOGIA;HCPE-0980;55567BG;ANA LAB HEM CTG CELULA AUTOMATICO;EQUIPAMENTO;ABBOTT;CELL DYN RUBY;GENERICO;0.0;2018-02-27 00:00:00;;0;2019-02-20 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
