Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35
;;Inventário Equipamentos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"
 Desativado: Não 
 Permite OS: Sim 
 Baixado: Não ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peso;NEC;U.S.;Sigla Órgão;Nome Órgão;Localização;Identificador;N.º Série;End of life ;Tipo Equipamento;Classe;Marca;Modelo;Fornecedor;Valor (R$);Aquisição;Núm. Doc. da Aquisição;Nota Fiscal;Garantia;Data Desativação;Desativado;Parecer Desativação;Permitir O.S.;Baixado;Contrato;Equipamento Crítico;Equipamento Próprio;Descrição Complementar;N.º Quebras;N.º Serviço Externo;N.º Peças Utilizadas;Custo Serviço Externo (R$);Custo Peça (R$);Vida Útil;Indisponibilidade (dias);Última MP
1;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-1905,760.291;008817;;APLICADOR CRIOCAUTERIO;EQUIPAMENTO;ALIMED TEC;CRYOFAST CT-908;GENERICO;40000;2018-06-11 00:00:00;;0;2019-06-11 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;1;;;;;;0;
1;HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;MEDICINA NUCLEAR;770.161,HCPE-3052;0008120215;;AQUECEDOR CONTRASTE;EQUIPAMENTO;ECKERT & ZIEGLER;EZ-100;ECKERT & ZIEGLER ISOTOPE PRODUCTS;10000;2023-01-01 00:00:00;;1;2023-01-31 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;2;;;;;;3;
2;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;UNIDADE DE BLOCOS CIRÚRGICOS;HCPE-1367,407.946;OEC82XXXX04219;;ARCO CIRURGICO MOVEL;EQUIPAMENTO;GE HEALTHCARE;OEC-9800-PLUS;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;620000;2017-01-30 00:00:00;15/17;11449;2018-01-30 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;"ESTAÇÃO DE TRABALHO 
MONITOR DE LCD
IMPRESSORA
UNIDADE DE GRAVAÇÃO
MONITOR DE UNIDADE DE GRAVAÇÃO";2;1;;;;;0;
2;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;UNIDADE DE BLOCOS CIRÚRGICOS;HCPE-1381,407.953;79-C5176D;;ARCO CIRURGICO MOVEL;EQUIPAMENTO;GE HEALTHCARE;OEC FLUOROSTAR-7900;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;365000;2012-01-01 00:00:00;;1;2013-01-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;3;1;;5616;;;0;
2;HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;DIAGNÓSTICO POR IMAGEM;HCPE-3587;27013;;ARCO CIRURGICO MOVEL;EQUIPAMENTO;SIEMENS;SIREMOBIL COMPACT L;SIEMENS HEALTHCARE DIAGNÓSTICOS LTDA;500000;2011-01-01 00:00:00;XX;XX;2012-01-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
1;HC-UFPE;HC;UASM;UNIDADE DE ATENÇÃO À SAÚDE DA MULHER;MATERNIDADE;HCPE-0803,757.395;TAH93487;;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;GENERICO;5000;2018-02-26 00:00:00;;0;2019-02-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
1;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;408.212;RAN055286;;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-R-2-D-2;FANEM LTDA;5000;2018-02-21 00:00:00;;1;2019-02-21 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;3;;;;;;17;
1;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-0061,413.750;RAN055284;;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;MINISTÉRIO DA EDUCAÇÃO;7000;2018-02-01 00:00:00;;NAO DISPONIVEL;2018-02-02 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;1;;;;;;0;2025-04-25 13:33:52.999000
1;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-0070,413.673;RAN055289;;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;MINISTÉRIO DA EDUCAÇÃO;7000;2018-02-01 00:00:00;;NÃO DISPONÍVEL;2018-02-02 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;0;2025-04-25 14:41:27.437000
1;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-0113,413.784;RAN055292;;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;GENERICO;5000;2018-02-22 00:00:00;;0;2019-02-22 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;1;;;;;;0;2025-04-25 15:16:30.071000
1;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-1334,407.963;;;ASPIRADOR CIRURGICO;EQUIPAMENTO;K TAKAOKA;17200;GENERICO;5000;2018-02-28 00:00:00;;0;2019-02-28 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
1;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-1362,410.356;11670;;ASPIRADOR CIRURGICO;EQUIPAMENTO;GIGANTE;G-76;GENERICO;5000;2018-02-28 00:00:00;;0;2019-02-28 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;0;2025-04-29 10:21:06.601000
1;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-1492,407.956;1421;;ASPIRADOR CIRURGICO;EQUIPAMENTO;K TAKAOKA;17200;GENERICO;5000;2018-03-01 00:00:00;;0;2019-03-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
1;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-2170,408.214;RAN055288;;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;GENERICO;5000;2018-11-27 00:00:00;;0;2019-11-27 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;2;;;;;;26;2025-04-29 09:32:42.701000
1;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-2172,408.121;RAN055286;;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;MINISTÉRIO DA EDUCAÇÃO;7000;2018-02-01 00:00:00;;NÃO DISPONÍVEL;2018-02-02 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;0;2025-04-25 15:21:18.757000
1;HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;UNIDADE DE BLOCOS CIRÚRGICOS;HCPE-0060,413.702;RAN055285;;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;FANEM LTDA;5000;2018-02-21 00:00:00;;1;2019-02-21 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;4;;;;;;5;2025-04-30 08:15:29.763000
