Identificador;Tipo Equipamento;Modelo;Marca;Localização;Criticidade;Data de Aquisição;Status;Valor (R$);Custo total externo;Peso
HCPE-0490,757.896;VENTILADOR TRANSPORTE;OXYLOG-3000;DRAGER;UTI ADULTO;3.0;2009-01-01;Em uso;1.0;1340567.0;0.7855679789413079
HCPE-0319,414.843;SIS RADIOGRAFICO-FLUOROSCOPICO;AXIOM ICONOS MD;SIEMENS;TELECOMANDADO;3.0;2012-01-02;Em uso;800000.0;81148.34;0.7051796735621882
HCPE-1311,407.202;INCUBADORA RN TRANSPORTE;IT-158-TS;FANEM;CENTRO OBSTÉTRICO;3.0;2003-01-01;Em uso;20000.0;58770.0;0.7037512710087452
HCPE-1344,417.828;PET CT;DISCOVERY;GE HEALTHCARE;PET SCAN;3.0;2013-01-01;Em uso;6200000.0;15382.0;0.7009818283249365
HCPE-1384,410.888;UNI ANESTESIA;FABIUS GS PREMIUM;DRAGER;UNIDADE DE BLOCOS CIRÚRGICOS;3.0;2008-03-01;Em uso;105000.0;10776.38;0.7006878530180913
HCPE-1766;BERCO AQUECIDO;BA-51;FANEM;CENTRO OBSTÉTRICO;3.0;2003-01-01;Em uso;12000.0;10385.0;0.7006628713531704
HCPE-1647,410.332;UNI ANESTESIA;FABIUS GS PREMIUM;DRAGER;UNIDADE DE BLOCOS CIRÚRGICOS;3.0;2008-03-01;Em uso;105000.0;9949.39;0.7006350665009649
HCPE-1581,407.226;UNI ANESTESIA;FABIUS GS PREMIUM;DRAGER;UNIDADE DE BLOCOS CIRÚRGICOS;3.0;2008-03-01;Em uso;105000.0;7563.75;0.7004827918341399
HCPE-1220,407.492;BERCO AQUECIDO;BA-51;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;12000.0;5500.0;0.700351063306927
HCPE-1827,412.590;DESFIBRILADOR-CARDIOVERSOR;LIFE-400-PLUS;CMOS DRAKE;TOMOGRAFIA;3.0;2013-01-01;Em uso;35000.0;5267.0;0.7003361909886516
HCPE-1256,407.499;BERCO AQUECIDO;BA-51-TS;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;12000.0;5242.0;0.7003345952463476
HCPE-0552,409.219;INCUBADORA RN TRANSPORTE;IT-158-TS;FANEM;TRIAGEM OBSTÉTRICA;3.0;2012-02-01;Em uso;20000.0;3360.0;0.7002144677656863
HCPE-0804,757.396;BERCO AQUECIDO;BA-51-TS;FANEM;9º NORTE;3.0;2003-01-01;Em uso;12000.0;3130.0;0.7001997869364875
HCPE-2667;VENTILADOR UTI;DX-3012;DIXTAL;UTI ADULTO- 5º ANDAR;3.0;2012-01-01;Em uso;52000.0;3069.5;0.7001959252401113
HCPE-0550,409.291;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON-3006-BTP;FANEM;MATERNIDADE;3.0;2013-01-01;Em uso;4.5;2998.0;0.7001913614171213
